                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 0.6382,                0.70589,                 1.0848,                0.52526,                0.70455,                0.55105,                0.34268,                 1.3677,                 1.6275,                 1.6308,              0.0002972,              0.0002972,              0.0002972
                     88,                0.69757,                 0.7771,                 1.0271,                0.54005,                0.70455,                0.54828,                0.35198,                 1.3545,                 1.6021,                  1.616,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.6402,                0.66092,                0.99443,                0.54005,                0.70455,                0.54828,                0.35198,                 1.3545,                 1.6021,                  1.616,              0.0002576,              0.0002576,              0.0002576
                     90,                0.63465,                0.54727,                 0.9831,                0.55322,                0.70357,                0.55943,                0.36215,                 1.3656,                 1.5957,                 1.6287,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.3407,                 2.0864,                 2.1698,                0.54279,                0.67462,                0.54512,                0.34815,                  1.393,                 1.5823,                 1.6596,               0.000218,               0.000218,               0.000218
                     92,                 0.6794,                0.93807,                0.90458,                 0.4968,                   0.75,                0.54055,                0.34572,                 1.4039,                  1.564,                 1.6854,              0.0001982,              0.0001982,              0.0001982
                     93,                0.48529,                0.63924,                0.88892,                 0.4968,                   0.75,                0.54055,                0.34572,                 1.4039,                  1.564,                 1.6854,              0.0001784,              0.0001784,              0.0001784
                     94,                0.56059,                0.97394,                 1.0113,                0.47687,                0.79545,                0.53742,                0.34537,                 1.4178,                 1.5751,                 1.7152,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.1043,                 2.7441,                 1.4251,                0.45591,                0.72727,                0.56554,                0.33836,                 1.4513,                 1.5826,                 1.7625,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.0328,                 1.2271,                 1.6529,                0.48038,                0.72727,                 0.5687,                0.34032,                  1.477,                  1.583,                 1.7976,               0.000119,               0.000119,               0.000119
                     97,                0.54786,                0.87985,                0.90793,                0.48038,                0.72727,                 0.5687,                0.34032,                  1.477,                  1.583,                 1.7976,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.64044,                0.92662,                0.93732,                   0.48,                0.71338,                0.56381,                0.33404,                 1.4797,                 1.6007,                  1.806,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.59954,                0.64058,                 1.0466,                0.47572,                0.72183,                0.55904,                0.32523,                 1.4692,                 1.6017,                  1.801,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.39781,                0.72018,                0.94681,                0.48506,                0.68182,                0.56715,                 0.3335,                 1.4591,                 1.6176,                 1.7922,               3.98e-05,               3.98e-05,               3.98e-05
